id,DORM,FRESHMAN,SOPHOMORE,JUNIOR,SENIOR
1,"47 Claremont",0,0,1,1
2,"600 W 113th",0,1,1,1
3,"Broadway Hall",0,1,1,1
4,"Carlton Arms",0,1,1,1
5,"Carman Hall",1,0,0,0
6,"East Campus",0,1,1,1
7,"Furnald Hall",1,1,0,0
8,"Harmony Hall",0,1,1,1
9,"Hartley Hall",1,1,0,0
10,"Hogan Hall",0,0,0,1
11,"John Jay Hall",1,0,0,0
12,"River Hall",0,1,1,1
13,"Ruggles Hall",0,1,1,1
14,"Schapiro Hall",0,1,1,1
16,"Watt Hall",0,1,1,1
17,"Wien Hall",0,1,1,1
18,"Woodbridge Hall",0,1,1,1
19,"Hewitt Hall",0,1,1,1
20,"Elliot Hall",0,1,1,1
21,"Sulzberger Tower",0,1,1,1
22,"600 W 116th St.",0,1,1,1
23,"616 W 116th St.",0,1,1,1
24,"620 W 116th St.",0,1,1,1
25,"601 W 110th St.",0,1,1,1
26,"Cathedral Gardens",0,1,1,1
27,"Plimpton Hall",0,1,1,1
28,"McBain Hall",0,1,1,1
